,is_spam,sms
282,0,yeah I think usual gun still pass last night get hold anybody let I know ill throw
283,0,k I might come tonight class let early
284,0,ok
285,0,hi baby cousin girl friend r give I call hour home alright one I one love jenny xx
286,0,life mean lot I I love life I love people life world call friend I call world
287,0,marshall mail tonitebusy streetshall update tonitething look okvarunnathu edukkukayee masha ollubut good one real sense
288,0,hey tell name gautham ah
289,0,find I feel stupid da v work
290,0,loop get bit
291,0,much busy
292,0,I accidentally delete message resent please
293,1,mobile customer may claim free camera phone upgrade pay go card loyalty call offer end thfebtcs apply
294,0,unless situation go girl would appropriate
295,0,hurt I tease I make I cry end life I die ply keep one rise grave say stupid I miss nice day bslvyl
296,0,I pick phone right pus send message
297,0,need coffee run tomocant believe time week already
298,0,awesome I remember last time get somebody high first time diese v
299,0,shit really shocking scar imagine second def night think somewhere I could crash night save taxi
300,0,oh way food fridge want go meal tonight
301,0,womdarfull actor
302,1,sum ac blind date road aberdeen united kingdom check httpimg sum acwicmbcktzr blind date send hide
303,0,I red I think book
304,0,joy ask want meet
305,0,yes friendship hang thread buy stuff
306,1,check new selection content game tone gossip babe sport keep mobile fit funny text
307,0,garage key agent bookshelf
308,0,today accept day accept I brother sister lover dear well close lvblefrnd jstfrnd cutefrnd lifpartnr belove sweetheart bstfrnd reply mean enemy
309,1,think smart win week weekly quit text play note winnersclub po box gbpweek
310,0,say hell give I call friend get money definitely buy end week
311,0,hi way I day normal waythis real I unique hope I know rest life hope find lose
312,0,make day great day
313,0,advance happy postal
314,0,mm guess go b n power hata funny power get lo forget liar
315,0,really due friend afraid
316,1,december mobile entitle update late colour camera mobile free call mobile update co free
317,0,coffee cake I guess
318,0,merry christmas babe I love kiss
319,0,hey go watch x man lunch hata
320,0,cut tell pp go b bit l cos bush past cos full still wait peter x
321,0,would great well guild could meet bristol road somewhere get touch weekend plan take flight good week
322,0,problem
323,0,callsmessagesmisse call
324,0,hi today class
325,0,I say good sign well know track record read woman
326,0,cool text I marked
327,0,read text I send mean joke read light
328,0,klapp good movie
329,0,maybe I could get book return immediately something
330,1,call germany penny per minute call fix line via access number repayment direct access
331,0,chance might I elaborate soon violate privacy steal phone number employer paperwork cool please contact I I report supervisor
332,1,valentine day special win quit take partner trip lifetime send go past red custcare
333,0,tadaa I home babe still
334,0,cool come win din
335,0,sleepingand surge
336,0,sorry ill call later
337,0,call I right call hand phone
338,0,ok great lot
339,0,I take post come must text happy read one iv hello caroline end favourite bless
340,0,hide strange
341,0,interested like
342,0,sister clear two round girl soft yesterday
343,0,gudnitetcpractice go
344,0,dis yijue I see mail case hum send sum dis sum
345,0,one small prestige problem
346,1,fancy shag I interest sextextukcom txt xx txt cost per mug webster x
347,0,check really miss see jeremiah great month
348,0,ah help give never phone
349,0,car hour half go apeshit
350,0,today sorry day ever I angry ever I misbehave hurt ply ply slap boy fault basically good
351,0,gun ever figure much need alcohol jay I try figure much safely spend weed
352,0,leave minute minute ago utf
353,0,thank callingforgot say happy sirin fine remember I meet insurance personmeet late intra allahrakhesh ex data fig join tisscotayseer
354,1,congratulation award voucher gift guarantee free entry wily draw txt music wwldewcomwinppmxage
355,1,cashbalance currently pound minimize tushin send cash past c hgsuiteland rowwjhl
356,0,actor I work I work evening sleep late since unemployed moment I always sleep late unemployed every day saturday
357,0,hello get st andrewsboy long way cold I keep post
358,0,ha ha cool cool chink chikkudb
359,0,oh ok probe
360,0,check address status right
361,0,busy try finish new year I look forward finally meet
362,0,good afternoon sunshine dawn day refresh happy alive breathe air smile I think love always
363,0,well I know z take care I worry
364,1,updatenow offer late motorola sonyericsson nikita free bluetooth double mind txt orange call mobileupd calloptoutfq
365,1,discount code stop message reply stop wwregalportfoliocouk customer service
366,0,wat uniform get
367,0,cool text I ready
368,0,hello boston geese I miss already I wake I wish bed I muddle I I love
369,0,I spoil bed well
370,0,go bath mug next leave min
371,0,I keep talk people sure I pay agree price pus tell I want really buy much willing pay
372,1,thank ringtone order reference charge gap per week subscribe daytime call customer service
373,0,say happen
374,0,could see I recognise face
375,0,well lot thing happen linsey new year sigh bar blue hero something go
376,0,keep payasam ring bring
377,0,I teach ranjith sir call I I sum like verify project pray tell today pa mistake I
378,0,I guess worried must know way body repair quite sure worry well take slow first test guide population relax nothing say reason worry ill keep follow
379,0,yeah sure give I couple minute track wallet
380,0,hey leave big deal take care
381,0,hey I late ah meet
382,1,double mind txt month free bluetooth orange available sonya nikita motorola phone call mobileupd calloptoutndx
383,0,take mr owl lick
384,0,customer place I call
385,0,mm time like fun
386,1,half price orange line rental late camera phone free phone call mobilesdirect free update orstoptxt
387,0,lunch buffet eat already
388,0,hut late fr dinner
389,0,hey sit go plate kickboxing
390,0,morning I ok
391,0,yes I think I office lap room I think last day I shut
392,0,pick bout time go
393,0,performance award calculate every two monthnot current one month period
394,0,actually sleep still might call back text gr rock send text wen I wake
395,0,always put business put picture ass facebook one open people give ever meet would I think picture room would hurt make feel violate
396,0,good evening sir al slam wahleykkumshare happy newby grace god I get offer tayseertissco I joinedhope fineinshah allahmeet sometimerakheshvisitor india
397,0,hmmkbut I want change field quickly day anna get system administrator network administrator
398,1,free ringtone text first poly text get true tone help st free tone xapspw eapsnd txt stop
399,0,dear check talk
400,0,hair cream ship
401,0,none happen til get though
402,0,yep great loxahatchee tree burn leave start hour
403,0,hata get use drive us man I know lot stoner
404,0,well slightly disastrous class pm far darling hope day ok coffee old good stay late tomorrow time place always
405,0,hello good week fancy drink something later
406,0,head towards busetop
407,0,messagesome text miss sendername miss number miss senate miss miss lot everything miss send via fullonsmscom
408,0,come room point iron plan weekend
409,0,cos I want thing
410,0,skies ill go jim skin go line den go meet one bah bah bah
411,0,bring home windy
412,1,date service call boxskch
413,0,whatsup want sleep
414,0,alright I new goal
415,1,free entry weekly competition text word win wwtxttowincouk
416,0,alright ill head minute text I meet
417,1,send log lover name join heart txt love name name mon eg love adam eve yakov poboxwwq teno p
418,0,yesfrom last week take live call
419,1,someone contract date service enter phone fancy find call lanoline poboxntfp
420,0,sila hostel ah
421,1,urgent mobile number award prize guarantee call land line claim valid
422,0,send friend receive something voice speak expression childish naughty sentiment rowdy full attitude romantic shy attractive funny leave irritate leave movable reply I
423,0,ok ok I guess
424,0,aathiwhere dear
425,0,pain privation thing else
426,0,esplanade I mind give I lift cos I get car today
427,0,I go buy bow car urgentlyit urgentbut shortage leave lacsthere source rang dis left lacsthat probe
428,0,home watch
429,0,usually take fifteen fucking minute respond yes question
430,1,congress nikita video camera phone call call cost pp ave call mind vary mobile close post cm len wcnxx
431,0,book ticket postal
432,0,available like right around hillsborough amp leave th
433,0,message send skin leave dollar I pay leave leave
434,0,ask g give tell story like ten time already
435,0,long applebee fuck take
436,0,hi hope get txtjourney mind late I think
437,0,I I like love arrange
438,0,really greatbhaji tell wall good cricket machine worldvery tough get
439,0,suppose wake I
440,0,oil I see I din c I I find group liar
441,0,sorry ill call later
442,0,hey hey werethe monkeespeople say monkeyaround rowdy gorgeous
443,0,sorry battery die I come get gram place
444,0,well blame exercise yeah I kind remember
445,0,I get concentration dear know mind everything
446,0,make plan new year
447,0,min later k
448,0,hand loudly
449,0,thank hope good day today
450,0,detail want transferacc enough
451,0,ok I tell stay yeah tough optimistic thing improve month
452,1,loan purpose homeowner tenant welcome previously refuse still help call free text back help
453,0,si si I think ill go make orel trifle
454,0,look amy beautiful intelligent woman I like lot I know donate like I like donate worry
455,0,I hope result consistently intelligent kind start ask practice link keep ear open good tell
456,0,call cost I guess bad miss need want love
457,0,go thou different feelingwavering decision come individualtime heal everything I believe
458,0,go phone donna die stay
459,0,great never well day give even reason thank god
460,1,upgrdcentre orange customer may claim free camera phone upgrade loyalty call offer end th july apply stout available
461,0,sorry ill call later ok bye
462,0,ok I way railway
463,0,great princess I love give receive oral foggy style position I enjoy make love leave time per night
464,0,put stuff road keep get slippery
465,0,go ride bike
466,0,need ill wait e rain stop
467,0,many company tell I language
468,1,email dear dave final notice collect tenerife holiday cash award call lanoline box wax pp
469,0,long since scream princess
470,0,nothing I mean money enter account bank remove flat rate someone transfer leave account leave dollar get remove bank differ charge also differ sure trust ja person send account detail cos
471,1,want get lay tonight want real dig location send direct mob join us large dig network take moan era pmsgp
472,0,nice line say broken heart ply cum time front I wise I trust good
473,0,ok donna head like fifteen minute
474,0,love aathilove lot
475,0,tension machine problem
476,0,k I pick another th
477,0,gun get back g say think stay mr
478,0,almost see see
479,0,carlo friend already ask I work weekend
480,0,watch
481,0,thank baby I wait taste real thing
482,0,change ff jackson thuglyfe falconerf
483,0,win really side long time
484,1,free message activate free text message reply message word free term condition visit wwcom
485,0,dear reach railway happen
486,0,depend quality want type I send bone fade glory want ralph maybe
487,0,I think give fix send test message
488,0,sorry man account dry I would want could trade back half I could buy shit credit card
489,1,congress year special cinema pass call c sherman v matrix stalwart etc free bxipwe pm miss
490,0,sorry meeting ill call later
491,0,class leave reunion
492,0,free norman I call
493,0,get I
494,0,hope think I go monday sorry I reply late
495,0,tell adventure confirm true
496,0,kate jackson rec center right
497,0,dear I reach room
498,0,fight world easy either win lose fight close difficult lose lose win still lose
499,0,I come
500,0,check nuerologist
501,0,police I go fish water
502,1,congratulation week competition draw win prize claim call b tcsstop sum pp
503,0,wait e car day bored wat cos wait outside get nothing home stuff watch wat
504,0,maybe westshore hyde park village place near house
505,0,know anthony bring money give school fee pay rent stuff like I need help friend need
506,0,significance
507,0,opinion I kusruthi movable silent spy character mature stylish simple pus reply
508,0,late still scourge also want give new ak try
509,0,prabhaim sorydarealyfrm heart story
510,0,ok forgive
511,0,change tat
512,1,guarantee late nikita phone go upon player prize txt word collect ibhltd lunch pmtmsgrcvd
513,0,competition
514,1,boltblue tone p reply poly mon eg poly ha ha slide yeah slow jam toxic come I stop tone txt
515,1,credit top httpwwbubbletextcom renewal pin tgxxrz
516,0,way transport less problematical sit night way want ask n join day feel free need know definite nos book fro
517,0,usually person unconscious child adult may behave abnormally ill call
518,0,bay might less elsewhere
519,0,shall I come get sickle
520,0,donna go get face
521,0,rude camp
522,1,urgent mobile award bonus call prize nd attempt contact call box
523,0,hi I b christmas enjoy n merry
524,1,today offer claim worth discount voucher text yes savamob member offer mobile sub sub reply x
525,0,yes pretty lady like single
526,1,receive tone within next term condition please see channel teletext pg
527,0,jay say doublefaggot
528,1,private account statement show redeem point call identify code expire
529,0,todaysundaysunday holiday work
530,0,gudnitetcpractice go
531,0,ill late
532,0,give call hop malaria know miss gun I miss bank big pus give love especially great day
533,0,good afternoon love go day I hope maybe get lead job I think boston send passionate kiss across sea
534,0,probably donna see later tonight
535,0,maybe fat finger press button know
536,0,ummaah many many happy return day dear sweet heart happy birthday dear
537,0,I tirupur da start office call I
538,1,wwapplausestorecom monthlysubscriptionpmsg mammoth test web age stop txt stop
539,0,famous quote develop ability listen anything unconditionally without lose temper self confidence mean married
540,0,go college pa else ill come self pa
541,0,clock mine base flat plan
542,0,girl stay bed girl need recovery time rather pass fun coope bed
543,0,special
544,0,I know need get hotel I get invitation I apologise call sweet I come english bloke wedding
545,0,sorry take long om
546,0,wait leave min
547,0,ok give I minute I think I see bow alive cut hair whole time
548,0,imagine finally get sink bath I put pace maybe even eat I I leave also imagine feel cage cock surround bath water remind always enjoy luck
549,0,hurry give weeddeficient like three day
550,0,sure I get acknowledgment astounding tactless generally foggy demand blood oath fo
551,0,ok every night take warm bath drink cup milk see work magic still need loose weight know
552,0,full look try pan case cheap book perhaps silly try pan issue likely book
553,0,well mutation sunscreen like essential tuesday
554,0,luncheon onlinewhy
555,0,I know friend already tell
556,0,hi princess thank pick pretty
557,0,always c ex one I funny I reply first time reply fast lucky work hut get bad sugardad three
558,0,hi mug mein office
559,0,e brown v nice
560,0,geese I love much I barely stand
561,1,go try contact last weekend draw show win prize guarantee call claim code k valid pp
562,0,fuck babe I miss already know let I send money towards net I need I want I grave
563,0,ill call mr finish address icy american free stop call I bad man k eh
564,0,ooh bed ride think
565,0,anyway go grm whatever love smile I hope ok good day babe I miss much already
566,0,love daddy make scream pleasure I go slap ass dick
567,0,anna missy
568,0,war wait sum finish lunch I whole morning stay home clean room room quite clean
569,0,know lab gorge go
570,0,open door
571,0,wait call
572,0,hope I wait daddy
573,1,win cash prize claim call
574,0,tired argue week week want ill
575,0,ii wait I I finish
576,1,mobile number win claim call back ring claim hot line
577,0,marriage r walk unfortunately snake bite love marriage dance front snake amp say bite I bite I
578,0,hut early I dinner outside izzit
579,0,ok anyway need change say
580,1,try contact reply offer mind extend new video phone call reply free delivery tomorrow
581,0,wife able kiss want kiss one day
582,0,scotland hope show c tendency take care live dream
583,0,tell headache want use hour sick time
584,0,I dun ill quit yet mm go jazz yogasana go meet lesson den
585,0,peter please ring give hardly botany credit
586,0,surely well I
587,0,meeting call I later
588,1,chance win wily shopping spree txt shop tss wwtxtshopcom custcare hawk
589,1,specially select receive pound award call line close cost pp apply promo
590,1,private account statement show redeem I point call identify code expire
591,0,still grand prim
592,0,I meet stranger choose friend long world stand friendship never end let us friend forever god sitz
593,0,I great
594,0,god man dear nice day
595,1,important customer service announcement call freephone
596,0,exhaust train morning much wine pie sleep well
597,0,go buy sum present ar
598,0,mind blast tsunamis occur rajnikant stop swim indian ocean
599,0,send home first ok ready yet
600,0,speak cash yet
601,0,happy I come noon
602,0,meet lunch la
603,0,take care n get well soon
604,1,xclusiveclubsaisai morrow soiree special nichola parisfree rose lady
605,0,I mean say wait see get bored bridgwater banter
606,0,neve mind ok
607,0,fine emma get drink something want I come find
608,1,day kick neuro keep date late news result daily remove send get txt stop
609,0,valentine game send dis mug friend answer r someone really love que colour suit I bestrply I
610,0,I many dependent
611,0,today nice catch ave find time often oh well take care c soon
612,0,I call say hither choose future
613,0,happy valentine day I know early I hundred handsome beauty wish I think finish auntie uncle st
614,0,like v shock let cos tell shuhui like tell leon also like dat almost know liar get ask I reaction
615,0,family happiness
616,0,I come n pick I come immediately aft lesson
617,0,let snow let snow kind weather bring pp together friendship grow
618,0,dear get leave dollar hi hi
619,0,good word word may leave dismay many time
620,0,make sure flex know birthday fifteen minute far concern
621,0,sorry get thing may pub later
622,0,ah straight bring bud drink something actually little useful straight cash
623,0,hata good hear officially pay market th
624,0,many lick take get center tootsie pop
625,0,I r e teacher say make face look long warren ask I cut short
626,1,new textbuddy chat horny gun area p free receive search postpone gaytextbuddycom txt one name
627,1,today vodafone number end select receive award number match call receive award
628,0,please say like hi hi hi
629,0,thank
630,0,oh forwarded message I think send I
631,0,get seventeen pound seven hundred hope ok
632,1,dear voucher holder claim week offer pp go httpwwetlpcoukexpressoffer tss apply stop text txt stop
633,0,I n funny
634,0,sweetheart hope kind day one load reason smile bill
635,0,I login dat time dad fetch I home
636,0,shower baby
637,0,I ask question hour answer
638,0,well emma definitely need stock thanksgiving ill let know
639,0,say kiss kiss I sound effect gorgeous man kind person need smile brighten day
640,0,probably donna swing wee bit
641,0,nice ready thursday
642,0,brave bush take train triumph I mean ham jolly good rest week
643,0,watch cartoon listen music amp eve go temple amp church
644,0,mind I ask happen say uncomfortable
645,1,private account statement show redeem I point call identify code expire
646,0,probe I send email
647,1,win cash prize claim call room pp
648,0,cool sometimes slow gentle sometimes rough hard
649,0,donna say sorry I would normal start panic time sorry see tuesday
650,0,wait know wesley town I bet hell drug
651,0,fine I miss much
652,0,get person story
653,0,tell drug dealer get impatient
654,0,sun come earth send lui ray cloud come river send lui rain I come meet send care mug god long
655,0,place man
656,0,make sense take unless free need know wikipediacom
657,1,premium phone service call
658,0,sea lay rock rock envelope envelope paper paper word
659,0,sum repent
660,0,sorry I go home first daddy come fetch I later
661,0,leave de start prepare next
662,0,yes baby study position supra
663,0,en chink range bare mug kalstiyathen teacoffee
664,0,carlosll minute still need buy
665,0,pay ltdecimalgt lake
666,0,good evening tell
667,0,receive mug
668,0,ho ho big belly laugh see
669,1,sums ac sun post helloyou seem cool
670,1,get st ringtone free reply mug tone gr top tone phone every week per opt send stop
671,0,worry I say anything anymore like I say last night whatever want ill peace
672,0,give get leave way I could pick
673,0,I know pa I drink milk
674,0,maybe say hi find get card great escape witherspoon
675,0,pigmy r awake I bet still sleep go lunch
676,0,freak
677,0,miss call I yell scrap miss wait come home lonely today
678,0,place talk explain
